Joint,Length,Type,Stand,Weight/Foot
0,1.5,PupJoint,0,20
1,31.2,TT-485,1,43.31
2,31.1,TT-485,1,43.31
3,31.1,TT-485,1,43.31
4,31.2,TT-485,2,43.31
5,32.2,TT-485,2,43.31
6,31,TT-485,2,43.31
7,31,TT-485,3,43.31
8,32.5,TT-485,3,43.31
9,32,TT-485,3,43.31
10,32.2,TT-485,4,43.31
11,32.4,TT-485,4,43.31
12,32,TT-485,4,43.31
13,32.4,TT-485,5,43.31
14,31.2,TT-485,5,43.31
15,31.7,TT-485,5,43.31
16,32.3,TT-485,6,43.31
17,32,TT-485,6,43.31
18,31.9,TT-485,6,43.31
19,31.4,TT-485,7,43.31
20,31.1,TT-485,7,43.31
21,31.6,TT-485,7,43.31
22,31,TT-485,8,43.31
23,32.1,TT-485,8,43.31
24,31.5,TT-485,8,43.31
25,31.7,TT-485,9,43.31
26,31.9,TT-485,9,43.31
27,31.4,TT-485,9,43.31
28,31.3,TT-485,10,43.31
29,31.8,TT-485,10,43.31
30,31,TT-485,10,43.31
31,31.6,TT-485,11,43.31
32,31.6,TT-485,11,43.31
33,31.4,TT-485,11,43.31
34,31.9,TT-485,12,43.31
35,31,TT-485,12,43.31
36,31.6,TT-485,12,43.31
37,32.2,TT-485,13,43.31
38,32,TT-485,13,43.31
39,31.9,TT-485,13,43.31
40,31,TT-485,14,43.31
41,31,TT-485,14,43.31
42,32.4,TT-485,14,43.31
43,32.1,TT-485,15,43.31
44,32.1,TT-485,15,43.31
45,31.9,TT-485,15,43.31
46,32,TT-485,16,43.31
47,31.5,TT-485,16,43.31
48,32.5,TT-485,16,43.31
49,32.2,TT-485,17,43.31
50,31.5,TT-485,17,43.31
51,31.1,TT-485,17,43.31
52,31.7,TT-485,18,43.31
53,32,TT-485,18,43.31
54,31.9,TT-485,18,43.31
55,32.2,TT-485,19,43.31
56,31.6,TT-485,19,43.31
57,31.3,TT-485,19,43.31
58,31.9,TT-485,20,43.31
59,32,TT-485,20,43.31
60,31.1,TT-485,20,43.31
61,31.1,TT-485,21,43.31
62,31.7,TT-485,21,43.31
63,31.2,TT-485,21,43.31
64,31,TT-485,22,43.31
65,32.1,TT-485,22,43.31
66,32.4,TT-485,22,43.31
67,32.2,TT-485,23,43.31
68,32,TT-485,23,43.31
69,32.1,TT-485,23,43.31
70,31.7,TT-485,24,43.31
71,32.5,TT-485,24,43.31
72,32.5,TT-485,24,43.31
73,31,TT-485,25,43.31
74,31.2,TT-485,25,43.31
75,31.8,TT-485,25,43.31
76,31,4 1/2 IF,26,20
77,31.5,4 1/2 IF,26,20
78,31.6,4 1/2 IF,26,20
79,31.9,4 1/2 IF,27,20
80,31,4 1/2 IF,27,20
81,31.9,4 1/2 IF,27,20
82,31.6,4 1/2 IF,28,20
83,31.6,4 1/2 IF,28,20
84,32.2,4 1/2 IF,28,20
85,31.5,4 1/2 IF,29,20
86,32.2,4 1/2 IF,29,20
87,31.1,4 1/2 IF,29,20
88,32.1,4 1/2 IF,30,20
89,31.7,4 1/2 IF,30,20
90,31.2,4 1/2 IF,30,20
91,32,4 1/2 IF,31,20
92,32.4,4 1/2 IF,31,20
93,31.6,4 1/2 IF,31,20
94,31.5,4 1/2 IF,32,20
95,32.2,4 1/2 IF,32,20
96,31.7,4 1/2 IF,32,20
97,31.2,4 1/2 IF,33,20
98,31.4,4 1/2 IF,33,20
99,32.4,4 1/2 IF,33,20
100,32.3,4 1/2 IF,34,20
101,31.4,4 1/2 IF,34,20
102,32.5,4 1/2 IF,34,20
103,32,4 1/2 IF,35,20
104,31.9,4 1/2 IF,35,20
105,31.3,4 1/2 IF,35,20
106,32.3,4 1/2 IF,36,20
107,32.2,4 1/2 IF,36,20
108,32.1,4 1/2 IF,36,20
109,31.5,4 1/2 IF,37,20
