Step, Time, BitDepth, HoleDepth, blockPosition. JointLength, hookload, DWOB, Torque, RPM, PumpPress, FlowRate
Step 1, 60000, 4942.6, 4982.6, 73.3, 0, 25000, 0, 0, 0, 0, 0
Step 2 Kelly, 60050, 4942.6, 4982.6, 73.3, 0, 26087.989785862, 0, 0, 0, 0, 0
Step 2 Kelly, 60100, 4942.6, 4982.6, 73.3, 0, 28263.9693575859, 0, 0, 0, 0, 0
Step 2 Kelly, 60150, 4942.6, 4982.6, 73.3, 0, 31527.9387151717, 0, 0, 0, 0, 0
Step 2 Kelly, 60200, 4942.6, 4982.6, 73.3, 0, 35879.8978586195, 0, 0, 0, 0, 0
Step 2 Kelly, 60250, 4942.59766005242, 4982.6, 73.3023399475852, 0, 41319.8467879293, 0, 0, 0, 0, 0
Step 2 Kelly, 60300, 4942.59532010483, 4982.6, 73.3046798951703, 0, 47847.785503101, 0, 0, 0, 0, 0
Step 2 Kelly, 60350, 4942.59064020966, 4982.6, 73.3093597903407, 0, 55463.7140041347, 0, 0, 0, 0, 0
Step 2 Kelly, 60400, 4942.58830026207, 4982.6, 73.3116997379259, 0, 64167.6322910303, 0, 0, 0, 0, 0
Step 2 Kelly, 60450, 4942.58128041932, 4982.6, 73.3187195806814, 0, 73959.5403637879, 0, 0, 0, 0, 0
Step 2 Kelly, 60500, 4942.57660052415, 4982.6, 73.3233994758517, 0, 84839.4382224074, 0, 0, 0, 0, 0
Step 2 Kelly, 60550, 4942.56724073381, 4982.6, 73.3327592661924, 0, 96807.3258668889, 0, 0, 0, 0, 0
Step 2 Kelly, 60600, 4942.56022089105, 4982.6, 73.339779108948, 0, 107687.223725508, 0, 0, 0, 0, 0
Step 2 Kelly, 60650, 4942.55086110071, 4982.6, 73.3491388992887, 0, 117479.131798266, 0, 0, 0, 0, 0
Step 2 Kelly, 60700, 4942.53916136279, 4982.6, 73.3608386372145, 0, 126183.050085162, 0, 0, 0, 0, 0
Step 2 Kelly, 60750, 4942.52746162486, 4982.6, 73.3725383751404, 0, 133798.978586195, 0, 0, 0, 0, 0
Step 2 Kelly, 60800, 4942.51576188694, 4982.6, 73.3842381130663, 0, 140326.917301367, 0, 0, 0, 0, 0
Step 2 Kelly, 60850, 4942.50172220142, 4982.6, 73.3982777985773, 0, 145766.866230677, 0, 0, 0, 0, 0
Step 2 Kelly, 60900, 4942.4900224635, 4982.6, 73.4099775365032, 0, 150118.825374125, 0, 0, 0, 0, 0
Step 2 Kelly, 60950, 4942.47598277799, 4982.6, 73.4240172220142, 0, 153382.79473171, 0, 0, 0, 0, 0
Step 2 Kelly, 61000, 4942.46194309248, 4982.6, 73.4380569075253, 0, 155558.774303434, 0, 0, 0, 0, 0
Step 2 Kelly, 61050, 4942.44790340696, 4982.6, 73.4520965930363, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 61100, 4942.43386372145, 4982.6, 73.4661362785474, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 61150, 4942.41982403594, 4982.6, 73.4801759640584, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 61200, 4942.40578435043, 4982.6, 73.4942156495695, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 61250, 4942.39174466492, 4982.6, 73.5082553350805, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 61300, 4942.38004492699, 4982.6, 73.5199550730064, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 61350, 4942.36600524148, 4982.6, 73.5339947585175, 0, 156646.764089296, 0, 0, 0, 0, 0
Step 2 Kelly, 61400, 4942.35196555597, 4982.6, 73.5480344440285, 0, 156646.764089296, 0, 0, 0, 0, 0
