Depth,Inc,Azi
0,0,0
702,0.1,32.6
800,0.1,33.1
900,0.3,33.4
1000,0,34.2
1100,0.7,34.7
1200,0.9,35
1300,1.1,35.6
1400,0.9,36
1500,0.7,36.8
1600,0.6,37.3
1700,0.6,37.9
1800,0.8,38.1
1900,0.7,38.8
2000,0.5,39.5
2100,0.4,40.1
2215,1.2,34.5
2312,3.1,40.8
2402,6,34.4
2492,8.8,30.3
2582,11.1,31.3
2672,13.9,33.5
2762,16.7,33.6
2852,19.6,33.4
2942,22.4,31.4
3032,25.1,29.1
3122,27.9,28.2
3212,30.7,28.4
3302,33.6,28.5
3392,35.6,28.6
3482,38.4,29.6
3572,41.3,30
3662,42.9,30.4
3752,44.6,29.5
3842,45.6,27.1
3945,45.8,25.5
4025,45.7,25.7
4115,45.5,26
4205,45.5,26.3
4236,45,26
4267,45,26
4298,45,26
4328,45,26
4359,45,26
4390,45,26
4421,45,26
4452,45,26
4483,45,26
4514,45,26
4544,45,26
4575,45,26
4606,45,26
4637,45,28
4668,45,29
4699,45,31
4730,44,32
4761,44,34
4792,44,34
4823,44,34
4854,44,35
4884,44,35
4915,44,35
4946,44,35
4978,44,35
5010,44,35
5041,44,35
5072,45,34
5103,45,33
5135,45,31
5166,45,30
5198,45,30
5230,45,30
5261,45,30
5292,45,30
5322,45,30
5353,45,30
5385,45,30
5417,45,30
5449,45,30
5480,45,30
5511,45,30
5541,45,30
5572,45,30
5603,45,30
5634,45,30
5665,45,30
5696,45,30
5726,45,30
5757,45,30
5789,44,30
5820,44,30
5851,44,30
5881,43,30
5912,43,30
5943,43,30
5974,43,30
6005,43,30
6036,43,30
6067,43,30
6097,43,30
6128,43,30
6159,43,30
6190,43,30
6221,43,30
6252,43,30
6283,43,30
6314,43,30
6346,43,30
6377,43,30
6408,43,30
6438,43,30
6469,43,30
6500,43,30
6531,43,30
6562,43,30
6594,43,30
6626,43,30
6656,43,30
6687,43,30
6719,43,30
6751,43,30
6782,43,30
6813,43,30
6845,43,30
6877,43,30
6908,43,30
6940,43,30
6972,43,30
7003,43,30
7035,43,30
7067,43,30
7099,43,30
7131,43,30
7162,43,30
7193,43,30
7224,43,30
7255,43,30
7286,43,30
7324,43,30
7362,43,30
7458,43,30
7554,43,30
